Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact,Locally acquired - interstate travel,Under investigation,Total cases,Total deaths,Date
QLD,1549,487,50,47,0,2133,7,2021-12-02
WA,1006,92,14,9,0,1121,9,2021-12-02
NT,211,69,0,12,0,292,0,2021-12-02
Australia,8672,120782,33937,406,49563,213360,2021,2021-12-02
ACT,98,1676,305,63,0,2142,14,2021-12-02
NSW,3779,49375,28692,216,118,82180,628,2021-12-02
VIC,1247,68745,4862,0,49445,124299,1346,2021-12-02
TAS,86,141,5,8,0,240,13,2021-12-02
SA,696,197,9,51,0,953,4,2021-12-02
NSW,3788,49882,28435,221,188,82514,628,2021-12-03
NT,211,70,0,12,0,293,0,2021-12-03
QLD,1549,487,50,53,0,2139,7,2021-12-03
SA,696,197,9,53,2,957,4,2021-12-03
ACT,98,1679,304,65,0,2146,14,2021-12-03
VIC,1252,69382,4868,0,49972,125474,1357,2021-12-03
WA,1007,92,14,9,0,1122,9,2021-12-03
Australia,8687,121930,33685,421,50162,214885,2032,2021-12-03
TAS,86,141,5,8,0,240,13,2021-12-03
Australia,8703,122771,33660,435,51007,216576,2042,2021-12-04
ACT,98,1679,307,69,0,2153,14,2021-12-04
NSW,3793,50256,28367,230,191,82837,629,2021-12-04
QLD,1552,491,50,51,1,2145,7,2021-12-04
SA,696,200,9,55,2,962,4,2021-12-04
TAS,86,141,5,8,0,240,13,2021-12-04
VIC,1260,69842,4908,0,50813,126823,1365,2021-12-04
WA,1007,92,14,9,0,1122,9,2021-12-04
NT,211,70,0,13,0,294,1,2021-12-04
TAS,86,141,5,8,0,240,13,2021-12-05
WA,1007,92,14,9,0,1122,9,2021-12-05
QLD,1553,493,49,56,1,2152,7,2021-12-05
NT,211,70,0,13,0,294,1,2021-12-05
NSW,3807,50711,28231,233,136,83118,630,2021-12-05
ACT,99,1684,304,69,0,2156,14,2021-12-05
Australia,8720,123672,33540,445,51462,217839,2050,2021-12-05
SA,697,202,9,57,3,968,4,2021-12-05
VIC,1260,70279,4928,0,51322,127789,1372,2021-12-05
QLD,1554,493,49,58,1,2155,7,2021-12-06
NT,211,72,0,13,0,296,1,2021-12-06
ACT,100,1692,303,69,0,2164,14,2021-12-06
SA,698,203,9,59,2,971,4,2021-12-06
TAS,86,141,5,8,0,240,13,2021-12-06
VIC,1260,70787,4990,0,51812,128849,1378,2021-12-06
WA,1007,92,14,9,0,1122,9,2021-12-06
NSW,3815,50893,28233,241,139,83321,630,2021-12-06
Australia,8731,124373,33603,457,51954,219118,2056,2021-12-06
WA,1007,92,14,9,0,1122,9,2021-12-07
VIC,1265,70833,4994,0,52937,130029,1385,2021-12-07
TAS,86,141,5,8,0,240,13,2021-12-07
QLD,1554,494,50,57,0,2155,7,2021-12-07
ACT,101,1692,303,71,0,2167,14,2021-12-07
NSW,3832,51301,27991,250,198,83572,632,2021-12-07
NT,213,72,0,13,0,298,1,2021-12-07
SA,698,205,9,61,2,975,4,2021-12-07
Australia,8756,124830,33366,469,53137,220558,2065,2021-12-07
VIC,1274,71786,4999,0,53266,131325,1390,2021-12-08
NSW,3838,51716,27866,257,290,83967,633,2021-12-08
NT,213,73,0,13,0,299,1,2021-12-08
QLD,1554,495,50,58,0,2157,7,2021-12-08
SA,699,207,10,60,0,976,4,2021-12-08
TAS,86,141,5,8,0,240,13,2021-12-08
Australia,8772,126209,33247,477,53556,222261,2072,2021-12-08
ACT,101,1699,303,72,0,2175,15,2021-12-08
WA,1007,92,14,9,0,1122,9,2021-12-08
WA,1008,92,14,9,0,1123,9,2021-12-09
VIC,1279,72304,5005,0,53954,132542,1399,2021-12-09
TAS,86,141,5,8,0,240,13,2021-12-09
NT,215,76,0,13,0,304,1,2021-12-09
NSW,3849,52064,27894,260,317,84384,634,2021-12-09
ACT,102,1701,304,72,0,2179,15,2021-12-09
Australia,8794,127082,33282,483,54271,223912,2082,2021-12-09
QLD,1554,495,50,58,0,2157,7,2021-12-09
SA,701,209,10,63,0,983,4,2021-12-09
WA,1008,92,14,9,0,1123,9,2021-12-10
VIC,1290,72812,5010,0,54622,133734,1401,2021-12-10
TAS,86,141,5,8,0,240,13,2021-12-10
SA,702,211,11,67,0,991,4,2021-12-10
QLD,1555,497,51,62,0,2165,7,2021-12-10
NT,215,78,0,13,1,307,1,2021-12-10
NSW,3855,52500,27864,266,410,84895,634,2021-12-10
ACT,102,1704,305,74,0,2185,15,2021-12-10
Australia,8813,128035,33260,499,55033,225640,2084,2021-12-10
VIC,1297,73250,5015,0,55349,134911,1414,2021-12-11
Australia,8835,128903,33351,511,55788,227388,2100,2021-12-11
ACT,104,1711,305,76,0,2196,15,2021-12-11
WA,1008,92,14,9,0,1123,9,2021-12-11
NT,215,78,0,13,0,306,1,2021-12-11
NSW,3868,52918,27947,275,439,85447,637,2021-12-11
TAS,86,141,5,8,0,240,13,2021-12-11
SA,702,214,14,68,0,998,4,2021-12-11
QLD,1555,499,51,62,0,2167,7,2021-12-11
WA,1008,92,14,9,0,1123,9,2021-12-12
Australia,8848,129707,33455,512,56408,228930,2104,2021-12-12
ACT,105,1715,303,74,0,2197,15,2021-12-12
NT,216,82,0,13,0,311,1,2021-12-12
QLD,1556,499,51,62,0,2168,7,2021-12-12
SA,702,220,14,69,3,1008,4,2021-12-12
TAS,86,141,5,8,0,240,13,2021-12-12
VIC,1296,73716,5017,0,55930,135959,1416,2021-12-12
NSW,3879,53242,28051,277,475,85924,639,2021-12-12
WA,1009,92,14,9,0,1124,9,2021-12-13
VIC,1295,74150,5044,0,56738,137227,1418,2021-12-13
TAS,86,141,5,8,0,240,13,2021-12-13
SA,704,226,15,75,0,1020,4,2021-12-13
QLD,1557,498,51,70,0,2176,7,2021-12-13
NT,216,84,0,13,0,313,1,2021-12-13
ACT,106,1715,302,77,0,2200,15,2021-12-13
NSW,3889,53844,27981,278,461,86453,639,2021-12-13
Australia,8862,130750,33412,530,57199,230753,2106,2021-12-13
TAS,86,141,5,8,0,240,13,2021-12-14
VIC,1316,74208,5064,0,57821,138409,1424,2021-12-14
WA,1010,92,14,9,0,1125,9,2021-12-14
SA,704,232,16,74,5,1031,4,2021-12-14
QLD,1558,498,51,73,0,2180,7,2021-12-14
NT,216,99,0,13,0,328,1,2021-12-14
NSW,3902,54354,27973,283,736,87248,640,2021-12-14
Australia,8900,131341,33425,537,58562,232765,2113,2021-12-14
ACT,108,1717,302,77,0,2204,15,2021-12-14
VIC,1332,75088,5078,0,58306,139804,1427,2021-12-15
TAS,86,141,5,8,0,240,13,2021-12-15
ACT,109,1718,302,82,0,2211,15,2021-12-15
NSW,3921,54848,28100,290,1436,88595,641,2021-12-15
NT,223,106,0,13,0,342,1,2021-12-15
QLD,1559,498,52,78,1,2188,7,2021-12-15
SA,705,250,20,77,5,1057,4,2021-12-15
WA,1010,92,14,9,0,1125,9,2021-12-15
Australia,8945,132741,33571,557,59748,235562,2117,2021-12-15
NSW,3934,55720,28328,301,2050,90333,641,2021-12-16
NT,223,106,0,14,0,343,1,2021-12-16
QLD,1562,500,53,90,4,2209,7,2021-12-16
SA,706,260,24,85,6,1081,4,2021-12-16
TAS,86,141,5,9,0,241,13,2021-12-16
WA,1010,92,14,9,0,1125,9,2021-12-16
Australia,8974,134289,33822,598,61286,238969,2126,2021-12-16
VIC,1343,75751,5095,0,59226,141415,1436,2021-12-16
ACT,110,1719,303,90,0,2222,15,2021-12-16
ACT,110,1726,304,102,0,2242,15,2021-12-17
NSW,3943,56930,28636,314,2709,92532,642,2021-12-17
NT,223,109,0,16,0,348,1,2021-12-17
QLD,1567,506,59,93,2,2227,7,2021-12-17
SA,708,302,32,86,15,1143,4,2021-12-17
TAS,86,141,5,11,0,243,13,2021-12-17
VIC,1358,76339,5098,0,60112,142907,1443,2021-12-17
WA,1010,92,14,9,0,1125,9,2021-12-17
Australia,9005,136145,34148,631,62838,242767,2134,2021-12-17
SA,709,330,38,89,50,1216,4,2021-12-18
WA,1010,92,14,9,0,1125,9,2021-12-18
VIC,1364,76833,5100,0,61045,144342,1450,2021-12-18
TAS,86,141,5,12,0,244,13,2021-12-18
QLD,1569,515,60,98,16,2258,7,2021-12-18
NT,223,113,0,16,0,352,1,2021-12-18
NSW,3962,58176,28982,323,3557,95000,643,2021-12-18
ACT,110,1736,305,109,0,2260,15,2021-12-18
Australia,9033,137936,34504,656,64668,246797,2142,2021-12-18
WA,1010,92,14,9,0,1125,9,2021-12-19
VIC,1369,77363,5102,0,61736,145570,1454,2021-12-19
TAS,87,141,5,12,2,247,13,2021-12-19
SA,709,382,36,95,74,1296,4,2021-12-19
Australia,9073,139820,34770,680,66385,250728,2146,2021-12-19
NT,225,116,0,16,0,357,1,2021-12-19
NSW,3991,59445,29251,333,4538,97558,643,2021-12-19
ACT,112,1756,298,108,4,2278,15,2021-12-19
QLD,1570,525,64,107,31,2297,7,2021-12-19
TAS,88,141,5,17,0,251,13,2021-12-20
SA,709,432,37,98,124,1400,4,2021-12-20
QLD,1573,546,62,115,60,2356,7,2021-12-20
NT,225,122,0,16,0,363,1,2021-12-20
NSW,4016,60463,29522,340,5699,100040,643,2021-12-20
ACT,112,1761,298,114,6,2291,15,2021-12-20
Australia,9107,141418,35050,709,68401,254685,2146,2021-12-20
VIC,1374,77861,5112,0,62512,146859,1454,2021-12-20
WA,1010,92,14,9,0,1125,9,2021-12-20
Australia,9178,143259,35414,744,70612,259207,2154,2021-12-21
ACT,113,1767,299,120,8,2307,15,2021-12-21
NSW,4046,61628,29860,347,7192,103073,645,2021-12-21
NT,225,133,0,18,0,376,1,2021-12-21
TAS,88,142,5,18,1,254,13,2021-12-21
SA,712,482,54,111,195,1554,4,2021-12-21
VIC,1404,78454,5120,0,63111,148089,1460,2021-12-21
WA,1011,92,14,9,0,1126,9,2021-12-21
QLD,1579,561,62,121,105,2428,7,2021-12-21
NSW,4046,61628,29860,347,7192,103073,645,2021-12-22
ACT,113,1767,299,120,8,2307,15,2021-12-22
NT,225,133,0,18,0,376,1,2021-12-22
QLD,1579,561,62,121,105,2428,7,2021-12-22
SA,712,482,54,111,195,1554,4,2021-12-22
TAS,88,142,5,18,1,254,13,2021-12-22
VIC,1404,78454,5120,0,63111,148089,1460,2021-12-22
WA,1011,92,14,9,0,1126,9,2021-12-22
Australia,9178,143259,35414,744,70612,259207,2154,2021-12-22
SA,714,818,103,153,1129,2917,4,2021-12-24
ACT,118,1886,311,181,56,2552,15,2021-12-24
NSW,4135,65236,31599,362,16742,118074,649,2021-12-24
NT,226,144,1,28,0,399,1,2021-12-24
QLD,1582,646,113,143,1079,3563,7,2021-12-24
TAS,89,147,6,37,41,320,13,2021-12-24
VIC,1527,80159,5170,0,66775,153631,1484,2021-12-24
WA,1014,93,14,11,1,1133,9,2021-12-24
Australia,9405,149129,37317,915,85823,282589,2182,2021-12-24
Australia,9405,149129,37317,915,85823,282589,2182,2021-12-25
ACT,118,1886,311,181,56,2552,15,2021-12-25
NSW,4135,65236,31599,362,16742,118074,649,2021-12-25
NT,226,144,1,28,0,399,1,2021-12-25
TAS,89,147,6,37,41,320,13,2021-12-25
SA,714,818,103,153,1129,2917,4,2021-12-25
VIC,1527,80159,5170,0,66775,153631,1484,2021-12-25
WA,1014,93,14,11,1,1133,9,2021-12-25
QLD,1582,646,113,143,1079,3563,7,2021-12-25
ACT,118,1908,320,193,217,2756,15,2021-12-26
Australia,9450,151572,38585,1122,101231,301960,2190,2021-12-26
NSW,4149,66758,32432,386,26976,130701,649,2021-12-26
NT,227,162,0,43,0,432,1,2021-12-26
SA,720,1139,439,241,1785,4324,4,2021-12-26
TAS,92,150,8,68,86,404,13,2021-12-26
VIC,1542,80597,5179,0,69849,157167,1492,2021-12-26
WA,1018,99,14,12,0,1143,9,2021-12-26
QLD,1584,759,193,179,2318,5033,7,2021-12-26
NT,228,169,1,50,0,448,1,2021-12-27
Australia,9460,153517,39330,1172,108617,312096,2197,2021-12-27
ACT,118,1909,321,194,400,2942,15,2021-12-27
NSW,4155,67598,32931,400,31927,137011,652,2021-12-27
SA,720,1227,613,257,2345,5162,5,2021-12-27
TAS,92,161,15,74,101,443,13,2021-12-27
VIC,1543,81559,5221,0,70824,159147,1495,2021-12-27
WA,1018,101,14,12,0,1145,9,2021-12-27
QLD,1586,793,214,185,3020,5798,7,2021-12-27
SA,720,1691,583,271,2895,6160,5,2021-12-28
TAS,94,175,19,79,120,487,13,2021-12-28
QLD,1586,862,263,201,4049,6961,7,2021-12-28
VIC,1553,82237,5224,0,72831,161845,1499,2021-12-28
ACT,118,1928,329,198,613,3186,15,2021-12-28
Australia,9485,155934,40052,1230,116584,323285,2202,2021-12-28
NSW,4166,68764,33620,416,36076,143042,653,2021-12-28
WA,1020,101,14,13,0,1148,9,2021-12-28
NT,228,176,0,52,0,456,1,2021-12-28
TAS,94,193,24,85,149,545,13,2021-12-29
Australia,9500,158468,40982,1288,131199,341437,2210,2021-12-29
ACT,118,2066,329,198,613,3324,15,2021-12-29
NSW,4172,69919,34318,432,45350,154191,656,2021-12-29
NT,228,185,4,60,0,477,1,2021-12-29
QLD,1588,941,327,221,5455,8532,7,2021-12-29
WA,1020,101,14,13,0,1148,9,2021-12-29
SA,720,1901,726,279,3999,7625,5,2021-12-29
VIC,1560,83162,5240,0,75633,165595,1504,2021-12-29
ACT,118,2319,329,198,600,3564,15,2021-12-30
Australia,9521,161241,42073,1355,148487,362677,2226,2021-12-30
WA,1021,103,14,14,1,1153,9,2021-12-30
VIC,1563,84139,5256,0,79737,170695,1518,2021-12-30
TAS,95,218,33,103,188,637,13,2021-12-30
SA,722,2190,848,289,4944,8993,6,2021-12-30
QLD,1589,1029,385,233,7516,10752,7,2021-12-30
NT,228,197,6,66,13,510,1,2021-12-30
NSW,4185,71046,35202,452,55488,166373,657,2021-12-30
VIC,1563,85409,5258,0,84304,176534,1525,2021-12-31
TAS,95,264,57,145,224,785,13,2021-12-31
SA,723,2216,848,291,7000,11078,6,2021-12-31
QLD,1590,1133,480,252,10408,13863,7,2021-12-31
WA,1025,103,14,15,1,1158,9,2021-12-31
NSW,4188,71985,35926,466,74939,187504,663,2021-12-31
ACT,118,2781,329,198,584,4010,15,2021-12-31
NT,228,224,9,87,24,572,1,2021-12-31
Australia,9530,164115,42921,1454,177484,395504,2239,2021-12-31
WA,1026,105,14,15,1,1161,9,2022-01-01
VIC,1565,86660,5261,0,90415,183901,1534,2022-01-01
SA,723,2312,1332,311,8500,13178,6,2022-01-01
TAS,95,295,80,173,581,1224,13,2022-01-01
NT,228,241,23,115,17,624,1,2022-01-01
NSW,4189,72984,36660,474,95744,210051,668,2022-01-01
ACT,0,4448,0,0,0,4448,15,2022-01-01
Australia,9417,168238,43943,1345,207769,430712,2253,2022-01-01
QLD,1591,1193,573,257,12511,16125,7,2022-01-01
SA,723,2373,1327,317,10733,15473,8,2022-01-02
ACT,0,4919,0,0,0,4919,15,2022-01-02
NSW,4192,73672,37182,485,112776,228307,669,2022-01-02
NT,228,247,25,150,77,727,1,2022-01-02
QLD,1592,1247,600,264,16004,19707,7,2022-01-02
TAS,95,311,97,180,945,1628,13,2022-01-02
Australia,9423,169558,44508,1414,238025,462928,2259,2022-01-02
VIC,1565,86683,5262,0,97489,190999,1537,2022-01-02
WA,1028,106,15,18,1,1168,9,2022-01-02
VIC,1582,89886,5269,0,102791,199528,1540,2022-01-03
WA,1030,107,17,21,1,1176,9,2022-01-03
SA,723,2372,1326,317,13283,18021,8,2022-01-03
Australia,9452,174018,45118,1512,269858,499958,2266,2022-01-03
QLD,1592,1301,619,274,20155,23941,7,2022-01-03
NT,233,266,41,202,63,805,1,2022-01-03
TAS,95,343,111,193,1358,2100,13,2022-01-03
NSW,4197,74420,37735,505,132207,249064,673,2022-01-03
ACT,0,5323,0,0,0,5323,15,2022-01-03
Australia,9473,179422,46261,1643,310854,547653,2271,2022-01-04
WA,1031,107,17,33,2,1190,9,2022-01-04
VIC,1583,92673,5268,0,113966,213490,1542,2022-01-04
TAS,102,371,118,211,2003,2805,13,2022-01-04
SA,726,2999,1686,348,15496,21255,8,2022-01-04
QLD,1594,1419,721,285,25607,29626,7,2022-01-04
NT,237,287,44,245,70,883,1,2022-01-04
NSW,4200,75322,38407,521,153710,272160,676,2022-01-04
ACT,0,6244,0,0,0,6244,15,2022-01-04
WA,1037,110,18,37,4,1206,9,2022-01-05
NSW,4202,76054,38946,534,187437,307173,683,2022-01-05
NT,239,351,81,302,12,985,1,2022-01-05
QLD,1594,1470,815,295,32227,36401,7,2022-01-05
SA,727,4358,1798,372,17490,24745,8,2022-01-05
TAS,103,403,133,222,2810,3671,13,2022-01-05
VIC,1593,95713,5269,0,128344,230919,1553,2022-01-05
ACT,0,7006,0,0,0,7006,15,2022-01-05
Australia,9495,185465,47060,1762,368324,612106,2289,2022-01-05
Australia,9530,191715,47701,1900,433381,684227,2301,2022-01-06
ACT,0,8021,0,0,0,8021,15,2022-01-06
SA,727,4721,1796,372,20197,27813,8,2022-01-06
WA,1039,111,18,45,2,1215,9,2022-01-06
VIC,1605,99733,5272,0,146052,252662,1559,2022-01-06
TAS,103,429,149,238,3503,4422,13,2022-01-06
NSW,4205,76780,39449,546,221153,342133,689,2022-01-06
NT,257,369,113,386,105,1230,1,2022-01-06
QLD,1594,1551,904,313,42369,46731,7,2022-01-06
ACT,0,9429,0,0,0,9429,15,2022-01-07
Australia,9529,238036,8707,2132,503522,761926,2319,2022-01-07
VIC,1606,103874,5285,0,163358,274123,1565,2022-01-07
NSW,4211,117593,0,573,258173,380550,700,2022-01-07
NT,243,134,445,575,108,1505,1,2022-01-07
QLD,1594,1632,998,321,53132,57677,8,2022-01-07
SA,730,4821,1794,373,23795,31513,8,2022-01-07
TAS,103,442,168,241,4954,5908,13,2022-01-07
WA,1042,111,17,49,2,1221,9,2022-01-07
Australia,9569,252531,13814,3244,570675,849833,2345,2022-01-08
ACT,0,10777,0,0,0,10777,15,2022-01-08
NSW,4212,119192,0,612,301577,425593,709,2022-01-08
QLD,1594,1744,1059,327,64059,68783,9,2022-01-08
NT,246,306,538,669,179,1938,1,2022-01-08
TAS,104,459,185,246,5954,6948,13,2022-01-08
VIC,1606,108389,5292,0,183492,298779,1574,2022-01-08
WA,1043,112,16,55,3,1229,9,2022-01-08
SA,764,11552,6724,1335,15411,35786,15,2022-01-08
WA,1043,116,15,56,1,1231,9,2022-01-09
TAS,106,500,213,252,6442,7513,13,2022-01-09
SA,785,15151,8970,1974,13414,40294,16,2022-01-09
VIC,1607,108416,5320,0,206128,321471,1578,2022-01-09
NT,247,437,601,745,208,2238,1,2022-01-09
NSW,4216,120722,0,636,329955,455529,725,2022-01-09
ACT,0,12176,0,0,0,12176,15,2022-01-09
Australia,9598,259316,16289,3993,633696,922892,2367,2022-01-09
QLD,1594,1798,1170,330,77548,82440,10,2022-01-09
ACT,0,13248,0,0,0,13248,15,2022-01-10
NSW,4219,122410,0,666,348436,475731,743,2022-01-10
NT,250,566,628,798,383,2625,1,2022-01-10
QLD,1595,1831,1196,330,83340,88292,10,2022-01-10
SA,798,16759,10071,2202,14483,44313,18,2022-01-10
TAS,106,525,240,256,6771,7898,13,2022-01-10
VIC,1606,119177,5324,0,214017,340124,1580,2022-01-10
WA,1044,119,16,60,0,1239,9,2022-01-10
Australia,9618,274635,17475,4312,667430,973470,2389,2022-01-10
NT,258,581,636,842,697,3014,1,2022-01-11
VIC,1606,123299,5324,0,231002,361231,1593,2022-01-11
TAS,106,531,251,257,7105,8250,13,2022-01-11
SA,811,18027,10965,2394,14993,47190,19,2022-01-11
QLD,1595,1875,1262,331,99596,104659,11,2022-01-11
NSW,4222,124142,0,692,372333,501389,754,2022-01-11
WA,1045,122,16,71,0,1254,9,2022-01-11
ACT,0,15306,0,0,0,15306,16,2022-01-11
Australia,9643,283883,18454,4587,725726,1042293,2416,2022-01-11
Australia,9658,293178,269012,4817,547473,1124138,2465,2022-01-12
ACT,0,16358,0,0,0,16358,16,2022-01-12
NSW,4226,125907,0,723,405169,536025,775,2022-01-12
NT,258,591,649,852,982,3332,1,2022-01-12
QLD,1595,1917,1332,332,117559,122735,11,2022-01-12
SA,821,19366,12110,2575,15958,50830,26,2022-01-12
TAS,106,544,267,261,7804,8982,13,2022-01-12
VIC,1606,128372,254638,0,0,384616,1614,2022-01-12
WA,1046,123,16,74,1,1260,9,2022-01-12
QLD,1595,1985,1432,332,129476,134820,17,2022-01-13
VIC,1606,134549,5337,0,266095,407587,1639,2022-01-13
TAS,106,553,276,263,8029,9227,13,2022-01-13
SA,821,19351,12100,2578,19558,54408,30,2022-01-13
WA,1049,125,16,85,1,1276,9,2022-01-13
NT,257,598,662,868,1441,3826,1,2022-01-13
NSW,4230,127528,0,758,433837,566353,797,2022-01-13
ACT,0,17661,0,0,0,17661,16,2022-01-13
Australia,9664,302350,19823,4884,858437,1195158,2522,2022-01-13
Australia,9679,310419,20873,5079,915743,1261793,2578,2022-01-14
ACT,0,18490,0,0,0,18490,16,2022-01-14
NSW,4233,129014,0,788,456763,590798,826,2022-01-14
NT,258,614,672,879,1787,4210,1,2022-01-14
QLD,1595,2054,1538,337,142731,148255,20,2022-01-14
SA,831,20554,13020,2718,22904,60027,36,2022-01-14
TAS,106,557,289,265,8380,9597,13,2022-01-14
VIC,1606,139009,5338,0,283178,429131,1657,2022-01-14
WA,1050,127,16,92,0,1285,9,2022-01-14
ACT,0,19065,0,0,0,19065,16,2022-01-15
Australia,9710,317857,22167,5266,966985,1321985,2633,2022-01-15
NSW,4234,129655,0,812,483013,617714,846,2022-01-15
NT,260,707,770,906,2143,4786,2,2022-01-15
SA,858,21778,14139,2847,24644,64266,40,2022-01-15
TAS,106,559,292,266,8676,9899,13,2022-01-15
VIC,1606,143859,5338,0,292288,443091,1681,2022-01-15
WA,1051,128,16,98,0,1293,9,2022-01-15
QLD,1595,2106,1612,337,156221,161871,26,2022-01-15
NSW,4234,129932,816,0,503449,638431,866,2022-01-16
WA,1051,130,16,99,1,1297,9,2022-01-16
VIC,1606,152304,5346,0,303232,462488,1689,2022-01-16
TAS,106,561,294,266,8961,10188,13,2022-01-16
SA,880,22922,15232,2934,24650,66618,42,2022-01-16
Australia,9732,328420,24131,4554,1011612,1378449,2668,2022-01-16
ACT,0,19687,0,0,0,19687,18,2022-01-16
QLD,1595,2150,1648,338,168945,174676,29,2022-01-16
NT,260,734,779,917,2374,5064,2,2022-01-16
Australia,9732,328420,24131,4554,1011612,1378449,2668,2022-01-17
SA,880,22922,15232,2934,24650,66618,42,2022-01-17
ACT,0,19687,0,0,0,19687,18,2022-01-17
WA,1051,130,16,99,1,1297,9,2022-01-17
NSW,4234,129932,816,0,503449,638431,866,2022-01-17
NT,260,734,779,917,2374,5064,2,2022-01-17
QLD,1595,2150,1648,338,168945,174676,29,2022-01-17
TAS,106,561,294,266,8961,10188,13,2022-01-17
VIC,1606,152304,5346,0,303232,462488,1689,2022-01-17
Australia,9754,332131,24923,5563,1053130,1425501,2698,2022-01-18
TAS,106,561,295,266,9352,10580,13,2022-01-18
ACT,0,20468,0,0,0,20468,19,2022-01-18
NSW,4234,130047,0,820,520906,656007,883,2022-01-18
NT,259,912,1065,967,1981,5184,2,2022-01-18
QLD,1596,2209,1703,339,179348,185195,36,2022-01-18
SA,901,24438,16474,3064,26276,71153,42,2022-01-18
VIC,1606,153362,5370,0,315267,475605,1694,2022-01-18
WA,1052,134,16,107,0,1309,9,2022-01-18
Australia,8191,184302,22271,5827,1286011,1506602,2841,2022-01-19
NT,260,939,1081,969,2099,5348,2,2022-01-19
NSW,4240,130754,0,828,555531,691353,951,2022-01-19
QLD,1596,2406,1873,339,202925,209139,63,2022-01-19
SA,935,26650,19001,3306,27291,77183,47,2022-01-19
TAS,106,563,300,266,10269,11504,13,2022-01-19
VIC,0,0,0,0,487895,487895,1736,2022-01-19
WA,1054,138,16,119,1,1328,9,2022-01-19
ACT,0,22852,0,0,0,22852,20,2022-01-19
TAS,106,565,303,266,10558,11798,13,2022-01-20
WA,1055,142,16,123,2,1338,9,2022-01-20
VIC,1606,164175,5372,0,327856,499009,1746,2022-01-20
SA,960,27774,20184,3441,28033,80392,58,2022-01-20
ACT,0,23068,0,0,0,23068,20,2022-01-20
NT,258,950,1081,980,2203,5472,2,2022-01-20
NSW,4248,131713,0,852,571891,708704,976,2022-01-20
Australia,9832,351503,29817,6059,1152934,1550145,2896,2022-01-20
QLD,1599,3116,2861,397,212391,220364,72,2022-01-20
Australia,9832,351503,29817,6059,1152934,1550145,2896,2022-01-21
WA,1055,142,16,123,2,1338,9,2022-01-21
VIC,1606,164175,5372,0,327856,499009,1746,2022-01-21
TAS,106,565,303,266,10558,11798,13,2022-01-21
SA,960,27774,20184,3441,28033,80392,58,2022-01-21
QLD,1599,3116,2861,397,212391,220364,72,2022-01-21
NT,258,950,1081,980,2203,5472,2,2022-01-21
NSW,4248,131713,0,852,571891,708704,976,2022-01-21
ACT,0,23068,0,0,0,23068,20,2022-01-21
